date,date,date.3,date.2,date.1,unnamed: 0,open,high,low,close,adjclose,volume,ticker
1970-01-01 00:00:00.000005885,1970-01-01 00:00:00.000005885,1970-01-01 00:00:00.000005885,1970-01-01 00:00:00.000005885,1970-01-01 00:00:00.000005885,2020-10-02,3153.6298828125,3195.800048828125,3123.0,3125.0,3125.0,5613100,AMZN
1970-01-01 00:00:00.000005886,1970-01-01 00:00:00.000005886,1970-01-01 00:00:00.000005886,1970-01-01 00:00:00.000005886,1970-01-01 00:00:00.000005886,2020-10-05,3145.840087890625,3202.530029296875,3140.85009765625,3199.199951171875,3199.199951171875,3775300,AMZN
1970-01-01 00:00:00.000005887,1970-01-01 00:00:00.000005887,1970-01-01 00:00:00.000005887,1970-01-01 00:00:00.000005887,1970-01-01 00:00:00.000005887,2020-10-06,3165.0,3182.0,3090.0,3099.9599609375,3099.9599609375,5086900,AMZN
1970-01-01 00:00:00.000005888,1970-01-01 00:00:00.000005888,1970-01-01 00:00:00.000005888,1970-01-01 00:00:00.000005888,1970-01-01 00:00:00.000005888,2020-10-07,3135.0,3200.0,3132.389892578125,3195.68994140625,3195.68994140625,4309400,AMZN
1970-01-01 00:00:00.000005889,1970-01-01 00:00:00.000005889,1970-01-01 00:00:00.000005889,1970-01-01 00:00:00.000005889,1970-01-01 00:00:00.000005889,2020-10-08,3224.989990234375,3233.2900390625,3174.989990234375,3190.550048828125,3190.550048828125,3174100,AMZN
1970-01-01 00:00:00.000005890,1970-01-01 00:00:00.000005890,1970-01-01 00:00:00.000005890,1970-01-01 00:00:00.000005890,1970-01-01 00:00:00.000005890,2020-10-09,3210.0,3288.989990234375,3197.830078125,3286.64990234375,3286.64990234375,4907900,AMZN
1970-01-01 00:00:00.000005891,1970-01-01 00:00:00.000005891,1970-01-01 00:00:00.000005891,1970-01-01 00:00:00.000005891,1970-01-01 00:00:00.000005891,2020-10-12,3349.93994140625,3496.239990234375,3339.550048828125,3442.929931640625,3442.929931640625,8364200,AMZN
1970-01-01 00:00:00.000005892,1970-01-01 00:00:00.000005892,1970-01-01 00:00:00.000005892,1970-01-01 00:00:00.000005892,1970-01-01 00:00:00.000005892,2020-10-13,3467.989990234375,3492.3798828125,3424.219970703125,3443.6298828125,3443.6298828125,5744700,AMZN
1970-01-01 00:00:00.000005893,1970-01-01 00:00:00.000005893,1970-01-01 00:00:00.000005893,1970-01-01 00:00:00.000005893,1970-01-01 00:00:00.000005893,2020-10-14,3447.0,3464.8798828125,3340.0,3363.7099609375,3363.7099609375,5812700,AMZN
1970-01-01 00:00:00.000005894,1970-01-01 00:00:00.000005894,1970-01-01 00:00:00.000005894,1970-01-01 00:00:00.000005894,1970-01-01 00:00:00.000005894,2020-10-15,3292.010009765625,3355.8798828125,3280.0,3338.64990234375,3338.64990234375,5223400,AMZN
1970-01-01 00:00:00.000005895,1970-01-01 00:00:00.000005895,1970-01-01 00:00:00.000005895,1970-01-01 00:00:00.000005895,1970-01-01 00:00:00.000005895,2020-10-16,3363.22998046875,3399.659912109375,3160.0,3272.7099609375,3272.7099609375,6474400,AMZN
1970-01-01 00:00:00.000005896,1970-01-01 00:00:00.000005896,1970-01-01 00:00:00.000005896,1970-01-01 00:00:00.000005896,1970-01-01 00:00:00.000005896,2020-10-19,3299.610107421875,3329.0,3192.739990234375,3207.2099609375,3207.2099609375,5223600,AMZN
1970-01-01 00:00:00.000005897,1970-01-01 00:00:00.000005897,1970-01-01 00:00:00.000005897,1970-01-01 00:00:00.000005897,1970-01-01 00:00:00.000005897,2020-10-20,3222.280029296875,3266.0,3192.010009765625,3217.010009765625,3217.010009765625,4509700,AMZN
1970-01-01 00:00:00.000005898,1970-01-01 00:00:00.000005898,1970-01-01 00:00:00.000005898,1970-01-01 00:00:00.000005898,1970-01-01 00:00:00.000005898,2020-10-21,3212.5,3233.8798828125,3160.0,3184.93994140625,3184.93994140625,4592700,AMZN
1970-01-01 00:00:00.000005899,1970-01-01 00:00:00.000005899,1970-01-01 00:00:00.000005899,1970-01-01 00:00:00.000005899,1970-01-01 00:00:00.000005899,2020-10-22,3189.8701171875,3198.75,3121.93994140625,3176.39990234375,3176.39990234375,4212000,AMZN
1970-01-01 00:00:00.000005900,1970-01-01 00:00:00.000005900,1970-01-01 00:00:00.000005900,1970-01-01 00:00:00.000005900,1970-01-01 00:00:00.000005900,2020-10-23,3191.0,3205.330078125,3140.0,3204.39990234375,3204.39990234375,3466700,AMZN
1970-01-01 00:00:00.000005901,1970-01-01 00:00:00.000005901,1970-01-01 00:00:00.000005901,1970-01-01 00:00:00.000005901,1970-01-01 00:00:00.000005901,2020-10-26,3198.739990234375,3282.97998046875,3153.300048828125,3207.0400390625,3207.0400390625,5901200,AMZN
1970-01-01 00:00:00.000005902,1970-01-01 00:00:00.000005902,1970-01-01 00:00:00.000005902,1970-01-01 00:00:00.000005902,1970-01-01 00:00:00.000005902,2020-10-27,3224.93994140625,3291.659912109375,3211.300048828125,3286.330078125,3286.330078125,4291000,AMZN
1970-01-01 00:00:00.000005903,1970-01-01 00:00:00.000005903,1970-01-01 00:00:00.000005903,1970-01-01 00:00:00.000005903,1970-01-01 00:00:00.000005903,2020-10-28,3249.300048828125,3264.02001953125,3162.469970703125,3162.780029296875,3162.780029296875,5588300,AMZN
1970-01-01 00:00:00.000005904,1970-01-01 00:00:00.000005904,1970-01-01 00:00:00.000005904,1970-01-01 00:00:00.000005904,1970-01-01 00:00:00.000005904,2020-10-29,3201.27001953125,3257.25,3164.0,3211.010009765625,3211.010009765625,6596500,AMZN
